Index,Timestamp,Chiller_ID,Label_Type,Status
517,2018-06-04 19:00:00 SGT,,,
518,2018-06-04 19:05:00 SGT,,,
519,2018-06-04 19:10:00 SGT,,,
520,2018-06-04 19:15:00 SGT,,,
521,2018-06-04 19:20:00 SGT,,,
522,2018-06-04 19:25:00 SGT,,,
523,2018-06-04 19:30:00 SGT,,,
524,2018-06-04 19:35:00 SGT,,,
525,2018-06-04 19:40:00 SGT,,,
526,2018-06-04 19:45:00 SGT,,,
527,2018-06-04 19:50:00 SGT,,,
528,2018-06-04 19:55:00 SGT,,,
529,2018-06-04 20:00:00 SGT,,,
530,2018-06-04 20:05:00 SGT,,,
531,2018-06-04 20:10:00 SGT,,,
532,2018-06-04 20:15:00 SGT,,,
533,2018-06-04 20:20:00 SGT,,,
534,2018-06-04 20:25:00 SGT,,,
535,2018-06-04 20:30:00 SGT,,,
536,2018-06-04 20:35:00 SGT,,,
537,2018-06-04 20:40:00 SGT,,,
538,2018-06-04 20:45:00 SGT,,,
539,2018-06-04 20:50:00 SGT,,,
540,2018-06-04 20:55:00 SGT,,,
541,2018-06-04 21:00:00 SGT,,,
542,2018-06-04 21:05:00 SGT,,,
543,2018-06-04 21:10:00 SGT,,,
544,2018-06-04 21:15:00 SGT,,,
545,2018-06-04 21:20:00 SGT,,,
546,2018-06-04 21:25:00 SGT,,,
547,2018-06-04 21:30:00 SGT,,,
548,2018-06-04 21:35:00 SGT,,,
549,2018-06-04 21:40:00 SGT,,,
550,2018-06-04 21:45:00 SGT,,,
551,2018-06-04 21:50:00 SGT,,,
552,2018-06-04 21:55:00 SGT,,,
553,2018-06-04 22:00:00 SGT,,,
554,2018-06-04 22:05:00 SGT,,,
555,2018-06-04 22:10:00 SGT,,,
556,2018-06-04 22:15:00 SGT,,,
557,2018-06-04 22:20:00 SGT,,,
558,2018-06-04 22:25:00 SGT,,,
559,2018-06-04 22:30:00 SGT,,,
560,2018-06-04 22:35:00 SGT,,,
561,2018-06-04 22:40:00 SGT,,,
562,2018-06-04 22:45:00 SGT,,,
563,2018-06-04 22:50:00 SGT,,,
564,2018-06-04 22:55:00 SGT,,,
565,2018-06-04 23:00:00 SGT,,,
566,2018-06-04 23:05:00 SGT,,,
567,2018-06-04 23:10:00 SGT,,,
568,2018-06-04 23:15:00 SGT,,,
569,2018-06-04 23:20:00 SGT,,,
570,2018-06-04 23:25:00 SGT,,,
571,2018-06-04 23:30:00 SGT,,,
572,2018-06-04 23:35:00 SGT,,,
573,2018-06-04 23:40:00 SGT,,,
574,2018-06-04 23:45:00 SGT,,,
575,2018-06-04 23:50:00 SGT,,,
576,2018-06-04 23:55:00 SGT,,,
577,2018-06-05 00:00:00 SGT,,,
578,2018-06-05 00:05:00 SGT,,,
579,2018-06-05 00:10:00 SGT,,,
580,2018-06-05 00:15:00 SGT,,,
581,2018-06-05 00:20:00 SGT,,,
582,2018-06-05 00:25:00 SGT,,,
583,2018-06-05 00:30:00 SGT,,,
584,2018-06-05 00:35:00 SGT,,,
585,2018-06-05 00:40:00 SGT,,,
586,2018-06-05 00:45:00 SGT,,,
587,2018-06-05 00:50:00 SGT,,,
588,2018-06-05 00:55:00 SGT,,,
589,2018-06-05 01:00:00 SGT,,,
590,2018-06-05 01:05:00 SGT,,,
591,2018-06-05 01:10:00 SGT,,,
592,2018-06-05 01:15:00 SGT,,,
593,2018-06-05 01:20:00 SGT,,,
594,2018-06-05 01:25:00 SGT,,,
